issueSymbolIdentifier,issueName,firmCRDNumber,MPID,marketParticipantName,tierIdentifier,tierDescription,summaryStartDate,totalWeeklyTradeCount,totalWeeklyShareQuantity,productTypeCode,summaryTypeCode,weekStartDate,lastUpdateDate,initialPublishedDate,lastReportedDate,totalNotionalSum
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-01-16,169972,56825568.0,CTS,ATS_W_SMBL,2023-01-16,2023-02-06,2023-02-06,2023-01-20,22303898274.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-01-23,198940,65505446.0,CTS,ATS_W_SMBL,2023-01-23,2023-02-13,2023-02-13,2023-01-27,26264166890.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-01-30,224235,71782650.0,CTS,ATS_W_SMBL,2023-01-30,2023-02-21,2023-02-21,2023-02-03,29378629435.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-02-06,199156,64507505.0,CTS,ATS_W_SMBL,2023-02-06,2023-02-27,2023-02-27,2023-02-13,26496149324.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-02-13,163570,57581024.0,CTS,ATS_W_SMBL,2023-02-13,2023-03-06,2023-03-06,2023-02-17,23612434879.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-02-20,150674,53850757.0,CTS,ATS_W_SMBL,2023-02-20,2023-03-13,2023-03-13,2023-02-24,21531435863.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-02-27,190872,68492837.0,CTS,ATS_W_SMBL,2023-02-27,2023-03-20,2023-03-20,2023-03-03,27221222187.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-03-06,221734,74929573.0,CTS,ATS_W_SMBL,2023-03-06,2023-03-27,2023-03-27,2023-03-13,29663939665.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-03-13,352170,138673794.0,CTS,ATS_W_SMBL,2023-03-13,2023-04-03,2023-04-03,2023-03-17,54074153410.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-03-20,277984,86498618.0,CTS,ATS_W_SMBL,2023-03-20,2023-04-10,2023-04-10,2023-03-27,34123893635.0
